Name,Designer,Gender,Img_url,Rating,Count,love,like,dislike,spring,summer,autumn,winter,day/night,longevitypoor,longevityweak,longevitymoderate,longevitylonglasting,longevityverylonglasting,sillagesoft,sillagemoderate,sillageheavy,sillageenormous,top_notes,middle_notes,base_notes,MUSK__AMBER__ANIMALIC_SMELLS,SWEETS_AND_GOURMAND_SMELLS,RESINS_AND_BALSAMS,SPICES,WOODS_AND_MOSSES,BEVERAGES,CITRUS_SMELLS,NATURAL_AND_SYNTHETIC__POPULAR_AND_WEIRD,GREENS__HERBS_AND_FOUGERES,FRUITS__VEGETABLES_AND_NUTS,FLOWERS,WHITE_FLOWERS
Prada Candy,Prada,women,https://fimgs.net/images/perfume/375x500.12426.jpg,0.481865285,0.549612728,0.388307848,0.344221792,0.475396621,0.113293718,0.099162469,0.79909896,0.644799768,0.58161277,0.236494751,0.420681008,0.602427362,0.251804374,0.102906857,0.52572022,0.571159466,0.119887691,0.083550295,Caramel,"Powdery Notes, Musk","Vanilla, Benzoin",0.057960729,0,0.25420135,0.300474917,0.074200235,0,0,0,0.630621919,0,0,0
Allure Homme Edition Blanche,Chanel,men,https://fimgs.net/images/perfume/375x500.2653.jpg,0.92746114,0.294117647,0.790027645,0.278790847,0.036799815,0.654460022,0.514321437,0.208959408,0.078205411,0.695770268,0.093909879,0.172089268,0.685696366,0.473140427,0.103695672,0.221810757,0.807738625,0.194298148,0.116452958,"Sandalwood, Tonka Bean, Amber, Tahitian Vetiver, Musk, Calabrian bergamot, Cedar, Madagascar Vanilla, Sicilian Lemon, Pink Pepper","Sandalwood, Tonka Bean, Amber, Tahitian Vetiver, Musk, Calabrian bergamot, Cedar, Madagascar Vanilla, Sicilian Lemon, Pink Pepper","Sandalwood, Tonka Bean, Amber, Tahitian Vetiver, Musk, Calabrian bergamot, Cedar, Madagascar Vanilla, Sicilian Lemon, Pink Pepper",0.331149194,0,0.137685468,0,0,0.231568111,0,0,0,0,0,0.481773752
Princess,Vera Wang,women,https://fimgs.net/images/perfume/375x500.1596.jpg,0.544041451,0.365501361,0.291660135,0.591818974,0.353549426,0.616217792,0.219481885,0.428130632,0.33677049,0.747207512,0.142071235,0.345223268,0.697425195,0.316795386,0.086356302,0.349025809,0.766796938,0.104524947,0.098237172,"Apricot, Mandarin Orange, Apple, Water Lily","Tuberose, Guava, Dark Chocolate, Tiare Flower","Amber, Vanilla, Woodsy Notes",0.213872832,0.224508671,0.084661576,0,0,0.073706347,0.161880249,0,0.274754622,0.123716333,0,0.036291062
Boss Bottled,Hugo Boss,men,https://fimgs.net/images/perfume/375x500.383.jpg,0.735751295,0.354720536,0.404095071,0.660522711,0.145460966,0.540729939,0.179085139,0.575688793,0.329684381,0.610818952,0.059316122,0.122799077,0.748236985,0.493297837,0.088990081,0.135471607,0.947991838,0.199228329,0.066190929,"Plum, Oakmoss, Apple, Lemon, Bergamot, Geranium","Mahogany, Carnation, Cinnamon","Sandalwood, Olive Tree, Vanilla, Vetiver, Cedar",0.334934187,0.253646389,0,0,0,0.337390047,0,0,0,0.086686304,0,0.11639944
Kenzo Amour,Kenzo,women,https://fimgs.net/images/perfume/375x500.664.jpg,0.704663212,0.368222734,0.490312928,0.481635898,0.21298116,0.234595358,0.11468593,0.621216607,0.672407724,0.560208239,0.091393231,0.14362531,0.401404581,0.704133158,0.175511483,0.235475629,0.605966233,0.386356697,0.127238691,"White Tea, Rice","Cherry Blossom, Frangipani, Heliotrope","Musk, Vanille, Woody Notes, Incense",0.282102528,0,0.113401567,0.082164914,0,0.066222838,0.147887045,0.342051551,0,0.251597485,0,0
Chanel N°5,Chanel,women,https://fimgs.net/images/perfume/375x500.608.jpg,0.321243523,0.650094201,0.359170042,0.165671911,0.686956532,0.222730965,0.123790965,0.58552538,0.703820413,0.219382247,0.060650714,0.101089716,0.304816815,0.610630015,0.383613827,0.12794425,0.588780919,0.393100173,0.260651373,"Aldehydes, Neroli, Ylang-Ylang, Bergamot, Lemon","iris, Orris Root, Jasmine, Lily-of-the-Valley, Rose","Amber, Sandalwood, Patchouli, Musk, Civet, Vanilla, Oakmoss, Vetiver",0.045230153,0,0.225950113,0,0.181289387,0.191925016,0.069940967,0,0,0.441464522,0,0.148525741
Black,Bvlgari,women and men,https://fimgs.net/images/perfume/375x500.154.jpg,0.678756477,0.329181495,0.480587553,0.451392478,0.254810613,0.142973192,0.082433164,0.704463087,0.728868439,0.206759063,0.121283323,0.226063641,0.67536468,0.402138085,0.118616219,0.38424295,0.661084038,0.17383561,0.101434339,"Green Tea, Bergamot, Rose","Sandalwood, Cedar, Jasmine","Leather, Amber, Musk, Vanilla, Oakmoss",0.2136685,0,0.616135735,0,0,0.205736214,0.03604322,0.194021085,0,0.030672332,0,0.034523548
Egoiste Platinum,Chanel,men,https://fimgs.net/images/perfume/375x500.614.jpg,0.78238342,0.307410509,0.63564468,0.336914087,0.173015431,0.585374714,0.361096317,0.384374285,0.202198681,0.610575997,0.079803075,0.120226312,0.280251694,0.846100297,0.185137478,0.086820716,0.478390868,0.65478683,0.174631358,"Rosemary, Lavender, Neroli, Petitgrain","Galbanum, Clary Sage, Jasmine, Geranium","Amber, Sandalwood, Oakmoss, Vetiver, Cedar",0,0,0.063910372,0,0,0.318034124,0.056017964,0.397559256,0,0.418529089,0,0.144367419
Dune,Christian Dior,women,https://fimgs.net/images/perfume/375x500.221.jpg,0.544041451,0.409880678,0.36357116,0.463909711,0.388984263,0.174012148,0.294383403,0.680302455,0.415300797,0.499749827,0.055322439,0.09149239,0.256353425,0.746433837,0.323257252,0.070807597,0.584771894,0.485338167,0.243007958,"Aldehydes, Peony, Mandarin Orange, Bergamot, Brazilian Rosewood","Lily, Jasmine, Ylang-Ylang, Rose, Wallflower","Sandalwood, Amber, Patchouli, Musk, Benzoin, Vanilla, Oakmoss",0.056809743,0,0.188614353,0.086575259,0.08131904,0.435150085,0.105662339,0,0,0.216502713,0,0.119607844
L'Heure Bleue,Guerlain,women,https://fimgs.net/images/perfume/375x500.208.jpg,0.81865285,0.252250366,0.729087002,0.239126014,0.151965313,0.239406724,0.143593254,0.6586828,0.591104294,0.241658456,0.07410825,0.093382311,0.195929257,0.692514211,0.403141108,0.098462526,0.432868615,0.639807209,0.222120803,"Anise, Coriander, Neroli, Bergamot, Lemon","Carnation, Orchid, Jasmine, Cloves, Neroli, Heliotrope, Ylang-Ylang, Bulgarian Rose, Violet, Tuberose","iris, Sandalwood, Musk, Benzoin, Vanilla, Vetiver, Tonka Bean",0.247915567,0,0.05060654,0.076090054,0,0.105819071,0.051310798,0,0,0.627908691,0,0.116851035
Chance Eau Fraiche,Chanel,women,https://fimgs.net/images/perfume/375x500.1483.jpg,0.735751295,0.346556416,0.503688969,0.497511821,0.180672175,0.630626119,0.586886632,0.115579722,0.083034273,0.881276202,0.115466812,0.247045851,0.666930479,0.346252143,0.164672312,0.232230558,0.72439776,0.276564905,0.112723406,"Lemon, Cedar","Pink Pepper, Water Hyacinth, Jasmine","Teak Wood, iris, Amber, Patchouli, Vetiver, White Musk",0.090805644,0,0.132934566,0,0,0.448237928,0.082239074,0,0,0.219192455,0,0.311598563
Acqua di Gioia,Giorgio Armani,women,https://fimgs.net/images/perfume/375x500.8442.jpg,0.554404145,0.45635336,0.280307791,0.629945773,0.330368434,0.496213411,0.693342554,0.095370672,0.076155254,0.871435039,0.084572778,0.243045843,0.670703562,0.4459435,0.106654295,0.241857183,0.787680032,0.215325123,0.094481479,"Amalfi Lemon, Mint","Jasmine, Pink Pepper, Peony","French labdanum, Virginia Cedar, Sugar",0.205578218,0,0,0.128555431,0.077218105,0.090851209,0,0.058578134,0.123646438,0.307859432,0.284503707,0
Allure Pour Homme,Chanel,men,https://fimgs.net/images/perfume/375x500.523.jpg,0.849740933,0.279673435,0.649962456,0.406350544,0.087004197,0.364558152,0.148092225,0.635801275,0.48653633,0.466436009,0.063979602,0.202437378,0.48808851,0.654241502,0.131339917,0.154443908,0.805671053,0.271083959,0.122956442,"Ginger, Lavender, Mandarin Orange, Peach, Bergamot, Lemon","Gardenia, Patchouli, Freesia, Jasmine, Vetiver, Anise, Cedar, Pepper, Rose, Brazilian Rosewood","Leather, Sandalwood, Tonka Bean, Amber, Musk, Benzoin, Coconut, Oakmoss, Vanilla",0,0.125640253,0,0.049946077,0.178535704,0.38159747,0.117292091,0.055166185,0.105465643,0.245962059,0,0
Midnight Poison,Christian Dior,women,https://fimgs.net/images/perfume/375x500.1282.jpg,0.683937824,0.351475822,0.595294587,0.270999288,0.288153196,0.111357499,0.093505608,0.597784191,0.842430774,0.013203561,0.077010576,0.137379254,0.277147504,0.715786639,0.287468213,0.100002216,0.332096486,0.708458872,0.259127574,"Mandarin Orange, Bergamot",Rose,"Patchouli, Amber, Vanilla",0,0,0,0,0.303512084,0.153146863,0.184420765,0,0.274915291,0.36653336,0,0
Aqva Pour Homme,Bvlgari,men,https://fimgs.net/images/perfume/375x500.153.jpg,0.730569948,0.310027214,0.422256398,0.625020302,0.157546785,0.479848804,0.677607206,0.140588925,0.072380118,0.754146262,0.089230153,0.18312344,0.727125898,0.446215633,0.087899883,0.228018568,0.780386995,0.261326637,0.074457783,"Petitgrain, Orange, Mandarin Orange","Seaweed, Lavender, Cotton Flower","Patchouli, Virginia Cedar, Woodsy Notes, Amber, Clary Sage",0,0,0,0,0.208208209,0,0.043202257,0,0.171546687,0.479419886,0.433507757,0
02 L`Air du Desert Marocain,Tauer Perfumes,women and men,https://fimgs.net/images/perfume/375x500.4573.jpg,0.911917098,0.214465145,0.881562141,0.092419731,0.105005536,0.121310587,0.134834146,0.74881274,0.632433539,0.308586087,0.09291543,0.060685354,0.131082206,0.543551277,0.584227741,0.091774333,0.299582477,0.734656176,0.277175965,"Coriander, Petitgrain, Cumin, Lavender","Jasmine, Labdanum, Birch, Geranium","Amber, Vetiver, Cedar, Patchouli, Oakmoss",0,0,0,0.072665868,0.386954369,0.279925884,0.282761096,0.043507103,0.037207022,0.113893979,0,0
Hypnose,Lancome,women,https://fimgs.net/images/perfume/375x500.170.jpg,0.544041451,0.42024283,0.335874525,0.515565374,0.372991548,0.213201961,0.091730113,0.546020375,0.79608401,0.252322748,0.06647501,0.126185899,0.462362626,0.670781068,0.180490221,0.140105094,0.630525476,0.44706393,0.153373737,Passion Flower,"Jasmine, Gardenia","Vetiver, Vanille",0,0.295326645,0,0.274779389,0.135028676,0.466049247,0,0,0,0,0,0
